if_ncov,old_gis_id,new_id,station_full_name,station,station_train_name,province_city,lat,long,address,province,city,站名,lng火星,lat火星,type,WGS84_Lng,WGS84_Lat,if_in_gis
#N/A,55583000062,4044,桓台站,桓台,桓台火车站,,36.946801,118.118406,,,,,118.118406,36.946801,freight,118.112302,36.946148,1
#N/A,48586100158,4045,三界站,三界,三界火车站,,32.579051,118.121818,,,,,118.121818,32.579051,freight,118.116187,32.580926,1
#N/A,60582000003,4046,靠山庄站,靠山庄,靠山庄火车站,,40.186768,118.118111,,,,,118.118111,40.186768,freight,118.111601,40.185315,1
#N/A,39586000069,4047,西芹站,西芹,西芹火车站,,26.580034,118.118373,,,,,118.118373,26.580034,freight,118.11326,26.583232,1
#N/A,59582000051,4048,胥各庄站,胥各庄,胥各庄火车站,,39.555495,118.109542,,,,,118.109542,39.555495,freight,118.103103,39.554103,1
#N/A,59585000054,4049,丰润站,丰润,丰润火车站,,39.815145,118.113119,,,,,118.113119,39.815145,freight,118.106651,39.813712,1
#N/A,54586000070,4050,北牟站,北牟,北牟火车站,,36.510074,118.105574,,,,,118.105574,36.510074,freight,118.099505,36.509693,1
#N/A,55586000030,4051,庞家站,庞家,庞家火车站,,37.207543,118.105932,,,,,118.105932,37.207543,freight,118.099782,37.206708,1
#N/A,42586000140,4052,沙溪站,沙溪,沙溪火车站,,28.576312,118.091849,,,,,118.091849,28.576312,freight,118.086554,28.579338,1
#N/A,59582000019,4053,丰南站,丰南,丰南火车站,,39.577411,118.093088,,,,,118.093088,39.577411,freight,118.086635,39.576011,1
#N/A,55582000033,4054,农中站,农中,农中火车站,,36.87495,118.087952,,,,,118.087952,36.87495,freight,118.081833,36.874343,1
#N/A,55587000047,4055,小营站,小营,小营火车站,,37.280008,118.088973,,,,,118.088973,37.280008,freight,118.082806,37.279134,1
#N/A,40581000012,4056,五星桥站,五星桥,五星桥火车站,,26.768215,118.071666,,,,,118.071666,26.768215,freight,118.066524,26.771421,1
#N/A,55581000238,4057,杜科站,杜科,杜科火车站,,36.801711,118.080154,,,,,118.080154,36.801711,freight,118.074046,36.801161,1
#N/A,54585000008,4058,西石门站,西石门,西石门火车站,,36.476497,118.070328,,,,,118.070328,36.476497,freight,118.064265,36.476148,1
#N/A,59582000018,4059,七道桥站,七道桥,七道桥火车站,,39.524896,118.071432,,,,,118.071432,39.524896,freight,118.064994,39.523527,1
#N/A,49580000120,4060,金张站,金张,金张火车站,,32.695928,118.060432,,,,,118.060432,32.695928,freight,118.054783,32.697777,1
#N/A,48587000144,4061,管店站,管店,管店火车站,,32.654032,118.070126,,,,,118.070126,32.654032,freight,118.064469,32.655886,1
#N/A,44585000008,4062,岩前站,岩前,岩前火车站,,29.823997,118.051513,,,,,118.051513,29.823997,freight,118.046145,29.826359,1
#N/A,47581000071,4063,长岗集站,长岗集,长岗集火车站,,31.479242,118.055042,,,,,118.055042,31.479242,freight,118.049518,31.481087,1
#N/A,46583000014,4064,钟鸣站,钟鸣,钟鸣火车站,,30.98567,118.04858,,,,,118.04858,30.98567,freight,118.043113,30.987741,1
#N/A,40581000017,4065,黄窠站,黄窠,黄窠火车站,,26.778499,118.049978,,,,,118.049978,26.778499,freight,118.044864,26.781739,1
#N/A,59586000034,4066,豆庄,豆,豆庄,,39.887011,118.042617,,,,,118.042617,39.887011,freight,118.036182,39.885637,1
#N/A,40582000032,4067,立墩站,立墩,立墩火车站,,26.890742,118.045589,,,,,118.045589,26.890742,freight,118.040475,26.893973,1
#N/A,59587000053,4068,洪家屯站,洪家屯,洪家屯火车站,,39.952092,118.033343,,,,,118.033343,39.952092,freight,118.026924,39.950738,1
#N/A,42585000212,4069,灵溪站,灵溪,灵溪火车站,,28.498548,118.040959,,,,,118.040959,28.498548,freight,118.035725,28.501677,1
#N/A,59585000053,4070,大令公站,大令公,大令公火车站,,39.824651,118.029696,,,,,118.029696,39.824651,freight,118.023304,39.823314,1
#N/A,49580000103,4071,卞庄站,卞庄,卞庄火车站,,32.729406,118.032069,,,,,118.032069,32.729406,freight,118.026475,32.731301,1
#N/A,36586000193,4072,杏林站,杏林,杏林火车站,,24.579222,118.024883,,,,,118.024883,24.579222,freight,118.01999,24.581991,1
#N/A,55580000094,4073,南定站,南定,南定火车站,,36.741473,118.028465,,,,,118.028465,36.741473,freight,118.022455,36.74106,1
#N/A,54585000067,4074,源泉站,源泉,源泉火车站,,36.418375,118.021865,,,,,118.021865,36.418375,freight,118.015911,36.418155,1
#N/A,40580000018,4075,照口站,照口,照口火车站,,26.688584,118.022344,,,,,118.022344,26.688584,freight,118.017301,26.691899,1
#N/A,59581000002,4076,唐坊站,唐坊,唐坊火车站,,39.473076,118.017525,,,,,118.017525,39.473076,freight,118.011216,39.471842,1
#N/A,59587000054,4077,党峪站,党峪,党峪火车站,,39.995654,118.018513,,,,,118.018513,39.995654,freight,118.012133,39.994339,1
#N/A,42585000166,4078,十里站,十里,十里火车站,,28.480563,118.009609,,,,,118.009609,28.480563,freight,118.004459,28.483784,1
#N/A,60580000020,4079,新店子站,新店子,新店子火车站,,40.074416,118.012234,,,,,118.012234,40.074416,freight,118.005864,40.073116,1
#N/A,40581000014,4080,峡阳站,峡阳,峡阳火车站,,26.771537,118.002237,,,,,118.002237,26.771537,freight,117.997244,26.774906,1
